category,name,status,integration_surface,interface,default,optional_dependencies,notes
diffusion_model,ic,available,shared_evaluation,"simulate_diffusion(dataset, protected_group_report, seed_set, ...)",True,(),Independent Cascade with edge-specific or fallback activation probabilities.
diffusion_model,lt,available,shared_evaluation,"simulate_diffusion(dataset, protected_group_report, seed_set, ...)",False,(),Linear Threshold using edge weights or normalized incoming influence.
diffusion_model,wc,available,shared_evaluation,"simulate_diffusion(dataset, protected_group_report, seed_set, ...)",False,(),Weighted Cascade using inverse in-degree activation probabilities.
spread_estimator,monte_carlo,available,search_and_final_evaluation,"evaluate_seed_set(..., mc_runs=...)",True,(),Trusted final evaluation path used for all reported spread/fairness metrics.
spread_estimator,ris_guidance,available,search_guidance_only,"generate_ris_guidance(dataset, protected_group_report, propagation_probability, config)",False,(),Reusable RR-set coverage prior for search-time guidance; final reporting remains Monte Carlo.
seed_selection,random,available,experiment_runner,"select_baseline_seed_set(dataset, method, budget, ...)",False,(),Uniform random seed selection without replacement.
seed_selection,degree,available,experiment_runner,"select_baseline_seed_set(dataset, method, budget, ...)",False,(),Highest-degree seed selection.
seed_selection,pagerank,available,experiment_runner,"select_baseline_seed_set(dataset, method, budget, ...)",False,(),Highest-PageRank seed selection.
seed_selection,greedy,available,experiment_runner,"select_baseline_seed_set(dataset, method, budget, ...)",False,(),Greedy marginal selection maximizing trusted total spread.
seed_selection,fairness_weighted_greedy,available,experiment_runner,"select_baseline_seed_set(dataset, method, budget, ...)",False,(),Greedy marginal selection maximizing trusted F-score.
seed_selection,maximin_greedy,available,experiment_runner,"select_baseline_seed_set(dataset, method, budget, ...)",False,(),Greedy marginal selection maximizing trusted worst-group MF.
seed_selection,community_round_robin,available,experiment_runner,"select_baseline_seed_set(dataset, method, budget, ...)",False,(),Round-robin seeding across detected communities with PageRank ordering.
fairness_fim_method,cea_fim,available,experiment_runner,"run_loaded_experiment(..., only_methods=['cea_fim'])",False,(),CEA-style comparator implemented as a community EA without swarm guidance or local search.
fairness_fim_method,hybrid_siea,available,experiment_runner,"run_loaded_experiment(..., only_methods=['hybrid_siea'])",True,(),Unified hybrid swarm-intelligence plus evolutionary optimizer.
fairness_fim_method,fairness_weighted_greedy,available,experiment_runner_baseline,baseline_methods=['fairness_weighted_greedy'],False,(),Greedy comparator maximizing the trusted F-score objective.
fairness_fim_method,maximin_greedy,available,experiment_runner_baseline,baseline_methods=['maximin_greedy'],False,(),Greedy comparator maximizing worst-group MF with spread-aware tie-breaking.
community_detection,louvain,available,experiment_runner_and_clustering_benchmark,"cluster_nodes(graph, method, embeddings=None, features=None, ...)",False,(),graph_native method with preferred input=graph.
community_detection,leiden,available,experiment_runner_and_clustering_benchmark,"cluster_nodes(graph, method, embeddings=None, features=None, ...)",True,"('igraph',)",graph_native method with preferred input=graph.
community_detection,multilevel,available,experiment_runner_and_clustering_benchmark,"cluster_nodes(graph, method, embeddings=None, features=None, ...)",False,"('igraph',)",graph_native method with preferred input=graph.
community_detection,infomap,available,experiment_runner_and_clustering_benchmark,"cluster_nodes(graph, method, embeddings=None, features=None, ...)",False,"('igraph',)",graph_native method with preferred input=graph.
community_detection,label_propagation,available,experiment_runner_and_clustering_benchmark,"cluster_nodes(graph, method, embeddings=None, features=None, ...)",False,(),graph_native method with preferred input=graph.
